"Platform","Domain","CapabilitySummary","IntegrationStatus","UtilityScore","ApplicabilityScore","IntegrationScore","ReliabilityScore","WorkflowValue","SourceRefs","Notes"
"GitHub Copilot","Safety, approval, and permission models","Permission controls, approval gates, and safety boundaries. Integration profile for GitHub Copilot: native.","native","5","5","5","5","100","https://docs.github.com/en/copilot;https://docs.github.com/en/copilot/how-tos/use-copilot-agents/coding-agent/extend-copilot-coding-agent-with-mcp;https://docs.github.com/en/copilot/how-tos/use-copilot-agents/request-a-code-review/configure-automatic-code-review-by-copilot","Derived from official documentation capture on 2026-03-05."
"Devin","Agent orchestration and autonomy","Multi-step planning and autonomous execution support. Integration profile for Devin: native.","native","5","5","5","4","96","https://docs.devin.ai/;https://docs.devin.ai/get-started/quickstart;https://docs.devin.ai/work-with-devin/devin-search/deepwiki","Derived from official documentation capture on 2026-03-05."
"Devin","Context and memory systems","Persistent project context, rules, or memory capture. Integration profile for Devin: native.","native","5","5","5","4","96","https://docs.devin.ai/;https://docs.devin.ai/get-started/quickstart;https://docs.devin.ai/work-with-devin/devin-search/deepwiki","Derived from official documentation capture on 2026-03-05."
"Devin","Search and retrieval","Repository and knowledge retrieval across code and docs. Integration profile for Devin: composed.","composed","4","4","4","4","80","https://docs.devin.ai/;https://docs.devin.ai/get-started/quickstart;https://docs.devin.ai/work-with-devin/devin-search/deepwiki","Derived from official documentation capture on 2026-03-05."
"Devin","Code analysis and refactoring","Static analysis help and structural code change workflows. Integration profile for Devin: native.","native","5","5","5","4","96","https://docs.devin.ai/;https://docs.devin.ai/get-started/quickstart;https://docs.devin.ai/work-with-devin/devin-search/deepwiki","Derived from official documentation capture on 2026-03-05."
"Devin","Test generation and execution","Test authoring help and validation loops. Integration profile for Devin: native.","native","5","5","5","4","96","https://docs.devin.ai/;https://docs.devin.ai/get-started/quickstart;https://docs.devin.ai/work-with-devin/devin-search/deepwiki","Derived from official documentation capture on 2026-03-05."
"Devin","Shell and filesystem control","Command execution and file operations. Integration profile for Devin: native.","native","5","5","5","4","96","https://docs.devin.ai/;https://docs.devin.ai/get-started/quickstart;https://docs.devin.ai/work-with-devin/devin-search/deepwiki","Derived from official documentation capture on 2026-03-05."
"Devin","Browser and UI control","UI/browser automation or preview capability. Integration profile for Devin: native.","native","4","3","5","4","81","https://docs.devin.ai/;https://docs.devin.ai/get-started/quickstart;https://docs.devin.ai/work-with-devin/devin-search/deepwiki","Derived from official documentation capture on 2026-03-05."
"Devin","API and external integrations (including MCP/tool ecosystems)","Extensibility via APIs, MCP, plugins, or tool adapters. Integration profile for Devin: composed.","composed","4","4","4","4","80","https://docs.devin.ai/;https://docs.devin.ai/get-started/quickstart;https://docs.devin.ai/work-with-devin/devin-search/deepwiki","Derived from official documentation capture on 2026-03-05."
"Devin","Debugging and observability","Root-cause analysis, diagnostics, traces, and triage. Integration profile for Devin: native.","native","5","5","5","4","96","https://docs.devin.ai/;https://docs.devin.ai/get-started/quickstart;https://docs.devin.ai/work-with-devin/devin-search/deepwiki","Derived from official documentation capture on 2026-03-05."
"Devin","Docs and knowledge generation","Documentation drafting and knowledge packaging. Integration profile for Devin: composed.","composed","3","3","4","4","70","https://docs.devin.ai/;https://docs.devin.ai/get-started/quickstart;https://docs.devin.ai/work-with-devin/devin-search/deepwiki","Derived from official documentation capture on 2026-03-05."
"Devin","Workflow automation and CI/CD hooks","Automation of recurring engineering and CI flows. Integration profile for Devin: native.","native","5","5","5","4","96","https://docs.devin.ai/;https://docs.devin.ai/get-started/quickstart;https://docs.devin.ai/work-with-devin/devin-search/deepwiki","Derived from official documentation capture on 2026-03-05."
"Devin","Safety, approval, and permission models","Permission controls, approval gates, and safety boundaries. Integration profile for Devin: native.","native","5","5","5","4","96","https://docs.devin.ai/;https://docs.devin.ai/get-started/quickstart;https://docs.devin.ai/work-with-devin/devin-search/deepwiki","Derived from official documentation capture on 2026-03-05."
"SWE-agent","Agent orchestration and autonomy","Multi-step planning and autonomous execution support. Integration profile for SWE-agent: native.","native","5","5","5","4","96","https://swe-agent.com/latest/;https://swe-agent.com/latest/usage/quickstart/;https://swe-agent.com/latest/usage/tools/","Derived from official documentation capture on 2026-03-05."
"SWE-agent","Context and memory systems","Persistent project context, rules, or memory capture. Integration profile for SWE-agent: partial.","partial","3","3","2","3","54","https://swe-agent.com/latest/;https://swe-agent.com/latest/usage/quickstart/;https://swe-agent.com/latest/usage/tools/","Derived from official documentation capture on 2026-03-05."
"SWE-agent","Search and retrieval","Repository and knowledge retrieval across code and docs. Integration profile for SWE-agent: composed.","composed","4","4","4","4","80","https://swe-agent.com/latest/;https://swe-agent.com/latest/usage/quickstart/;https://swe-agent.com/latest/usage/tools/","Derived from official documentation capture on 2026-03-05."
"SWE-agent","Code analysis and refactoring","Static analysis help and structural code change workflows. Integration profile for SWE-agent: native.","native","5","5","5","4","96","https://swe-agent.com/latest/;https://swe-agent.com/latest/usage/quickstart/;https://swe-agent.com/latest/usage/tools/","Derived from official documentation capture on 2026-03-05."
"SWE-agent","Test generation and execution","Test authoring help and validation loops. Integration profile for SWE-agent: native.","native","5","5","5","4","96","https://swe-agent.com/latest/;https://swe-agent.com/latest/usage/quickstart/;https://swe-agent.com/latest/usage/tools/","Derived from official documentation capture on 2026-03-05."
"SWE-agent","Shell and filesystem control","Command execution and file operations. Integration profile for SWE-agent: native.","native","5","5","5","4","96","https://swe-agent.com/latest/;https://swe-agent.com/latest/usage/quickstart/;https://swe-agent.com/latest/usage/tools/","Derived from official documentation capture on 2026-03-05."
"SWE-agent","Browser and UI control","UI/browser automation or preview capability. Integration profile for SWE-agent: external-only.","external-only","1","0","0","2","13","https://swe-agent.com/latest/;https://swe-agent.com/latest/usage/quickstart/;https://swe-agent.com/latest/usage/tools/","Derived from official documentation capture on 2026-03-05."
"SWE-agent","API and external integrations (including MCP/tool ecosystems)","Extensibility via APIs, MCP, plugins, or tool adapters. Integration profile for SWE-agent: partial.","partial","3","3","2","3","54","https://swe-agent.com/latest/;https://swe-agent.com/latest/usage/quickstart/;https://swe-agent.com/latest/usage/tools/","Derived from official documentation capture on 2026-03-05."
"SWE-agent","Debugging and observability","Root-cause analysis, diagnostics, traces, and triage. Integration profile for SWE-agent: native.","native","5","5","5","4","96","https://swe-agent.com/latest/;https://swe-agent.com/latest/usage/quickstart/;https://swe-agent.com/latest/usage/tools/","Derived from official documentation capture on 2026-03-05."
"SWE-agent","Docs and knowledge generation","Documentation drafting and knowledge packaging. Integration profile for SWE-agent: composed.","composed","3","3","4","4","70","https://swe-agent.com/latest/;https://swe-agent.com/latest/usage/quickstart/;https://swe-agent.com/latest/usage/tools/","Derived from official documentation capture on 2026-03-05."
"SWE-agent","Workflow automation and CI/CD hooks","Automation of recurring engineering and CI flows. Integration profile for SWE-agent: native.","native","5","5","5","4","96","https://swe-agent.com/latest/;https://swe-agent.com/latest/usage/quickstart/;https://swe-agent.com/latest/usage/tools/","Derived from official documentation capture on 2026-03-05."
"SWE-agent","Safety, approval, and permission models","Permission controls, approval gates, and safety boundaries. Integration profile for SWE-agent: composed.","composed","5","5","4","4","90","https://swe-agent.com/latest/;https://swe-agent.com/latest/usage/quickstart/;https://swe-agent.com/latest/usage/tools/","Derived from official documentation capture on 2026-03-05."
"OpenAI Codex","Agent orchestration and autonomy","Multi-step planning and autonomous execution support. Integration profile for OpenAI Codex: native.","native","5","5","5","4","96","https://platform.openai.com/docs/guides/codex;https://platform.openai.com/docs/guides/tools;https://platform.openai.com/docs/guides/mcp","Derived from official documentation capture on 2026-03-05."
"OpenAI Codex","Context and memory systems","Persistent project context, rules, or memory capture. Integration profile for OpenAI Codex: composed.","composed","4","4","4","4","80","https://platform.openai.com/docs/guides/codex;https://platform.openai.com/docs/guides/tools;https://platform.openai.com/docs/guides/mcp","Derived from official documentation capture on 2026-03-05."
"OpenAI Codex","Search and retrieval","Repository and knowledge retrieval across code and docs. Integration profile for OpenAI Codex: composed.","composed","4","4","4","4","80","https://platform.openai.com/docs/guides/codex;https://platform.openai.com/docs/guides/tools;https://platform.openai.com/docs/guides/mcp","Derived from official documentation capture on 2026-03-05."
"OpenAI Codex","Code analysis and refactoring","Static analysis help and structural code change workflows. Integration profile for OpenAI Codex: native.","native","5","5","5","4","96","https://platform.openai.com/docs/guides/codex;https://platform.openai.com/docs/guides/tools;https://platform.openai.com/docs/guides/mcp","Derived from official documentation capture on 2026-03-05."
"OpenAI Codex","Test generation and execution","Test authoring help and validation loops. Integration profile for OpenAI Codex: native.","native","5","5","5","4","96","https://platform.openai.com/docs/guides/codex;https://platform.openai.com/docs/guides/tools;https://platform.openai.com/docs/guides/mcp","Derived from official documentation capture on 2026-03-05."
"OpenAI Codex","Shell and filesystem control","Command execution and file operations. Integration profile for OpenAI Codex: native.","native","5","5","5","4","96","https://platform.openai.com/docs/guides/codex;https://platform.openai.com/docs/guides/tools;https://platform.openai.com/docs/guides/mcp","Derived from official documentation capture on 2026-03-05."
"OpenAI Codex","Browser and UI control","UI/browser automation or preview capability. Integration profile for OpenAI Codex: partial.","partial","2","1","2","3","39","https://platform.openai.com/docs/guides/codex;https://platform.openai.com/docs/guides/tools;https://platform.openai.com/docs/guides/mcp","Derived from official documentation capture on 2026-03-05."
"OpenAI Codex","API and external integrations (including MCP/tool ecosystems)","Extensibility via APIs, MCP, plugins, or tool adapters. Integration profile for OpenAI Codex: native.","native","5","5","5","4","96","https://platform.openai.com/docs/guides/codex;https://platform.openai.com/docs/guides/tools;https://platform.openai.com/docs/guides/mcp","Derived from official documentation capture on 2026-03-05."
"OpenAI Codex","Debugging and observability","Root-cause analysis, diagnostics, traces, and triage. Integration profile for OpenAI Codex: native.","native","5","5","5","4","96","https://platform.openai.com/docs/guides/codex;https://platform.openai.com/docs/guides/tools;https://platform.openai.com/docs/guides/mcp","Derived from official documentation capture on 2026-03-05."
"OpenAI Codex","Docs and knowledge generation","Documentation drafting and knowledge packaging. Integration profile for OpenAI Codex: native.","native","4","4","5","4","86","https://platform.openai.com/docs/guides/codex;https://platform.openai.com/docs/guides/tools;https://platform.openai.com/docs/guides/mcp","Derived from official documentation capture on 2026-03-05."
"OpenAI Codex","Workflow automation and CI/CD hooks","Automation of recurring engineering and CI flows. Integration profile for OpenAI Codex: composed.","composed","4","4","4","4","80","https://platform.openai.com/docs/guides/codex;https://platform.openai.com/docs/guides/tools;https://platform.openai.com/docs/guides/mcp","Derived from official documentation capture on 2026-03-05."
"OpenAI Codex","Safety, approval, and permission models","Permission controls, approval gates, and safety boundaries. Integration profile for OpenAI Codex: native.","native","5","5","5","4","96","https://platform.openai.com/docs/guides/codex;https://platform.openai.com/docs/guides/tools;https://platform.openai.com/docs/guides/mcp","Derived from official documentation capture on 2026-03-05."
"OpenHands","Agent orchestration and autonomy","Multi-step planning and autonomous execution support. Integration profile for OpenHands: native.","native","5","5","5","4","96","https://docs.all-hands.dev/;https://docs.all-hands.dev/usage/getting-started;https://github.com/All-Hands-AI/OpenHands","Derived from official documentation capture on 2026-03-05."
"OpenHands","Context and memory systems","Persistent project context, rules, or memory capture. Integration profile for OpenHands: composed.","composed","4","4","4","4","80","https://docs.all-hands.dev/;https://docs.all-hands.dev/usage/getting-started;https://github.com/All-Hands-AI/OpenHands","Derived from official documentation capture on 2026-03-05."
"OpenHands","Search and retrieval","Repository and knowledge retrieval across code and docs. Integration profile for OpenHands: composed.","composed","4","4","4","4","80","https://docs.all-hands.dev/;https://docs.all-hands.dev/usage/getting-started;https://github.com/All-Hands-AI/OpenHands","Derived from official documentation capture on 2026-03-05."
"OpenHands","Code analysis and refactoring","Static analysis help and structural code change workflows. Integration profile for OpenHands: native.","native","5","5","5","4","96","https://docs.all-hands.dev/;https://docs.all-hands.dev/usage/getting-started;https://github.com/All-Hands-AI/OpenHands","Derived from official documentation capture on 2026-03-05."
"OpenHands","Test generation and execution","Test authoring help and validation loops. Integration profile for OpenHands: native.","native","5","5","5","4","96","https://docs.all-hands.dev/;https://docs.all-hands.dev/usage/getting-started;https://github.com/All-Hands-AI/OpenHands","Derived from official documentation capture on 2026-03-05."
"OpenHands","Shell and filesystem control","Command execution and file operations. Integration profile for OpenHands: native.","native","5","5","5","4","96","https://docs.all-hands.dev/;https://docs.all-hands.dev/usage/getting-started;https://github.com/All-Hands-AI/OpenHands","Derived from official documentation capture on 2026-03-05."
"OpenHands","Browser and UI control","UI/browser automation or preview capability. Integration profile for OpenHands: native.","native","4","3","5","4","81","https://docs.all-hands.dev/;https://docs.all-hands.dev/usage/getting-started;https://github.com/All-Hands-AI/OpenHands","Derived from official documentation capture on 2026-03-05."
"OpenHands","API and external integrations (including MCP/tool ecosystems)","Extensibility via APIs, MCP, plugins, or tool adapters. Integration profile for OpenHands: composed.","composed","4","4","4","4","80","https://docs.all-hands.dev/;https://docs.all-hands.dev/usage/getting-started;https://github.com/All-Hands-AI/OpenHands","Derived from official documentation capture on 2026-03-05."
"OpenHands","Debugging and observability","Root-cause analysis, diagnostics, traces, and triage. Integration profile for OpenHands: native.","native","5","5","5","4","96","https://docs.all-hands.dev/;https://docs.all-hands.dev/usage/getting-started;https://github.com/All-Hands-AI/OpenHands","Derived from official documentation capture on 2026-03-05."
"OpenHands","Docs and knowledge generation","Documentation drafting and knowledge packaging. Integration profile for OpenHands: composed.","composed","3","3","4","4","70","https://docs.all-hands.dev/;https://docs.all-hands.dev/usage/getting-started;https://github.com/All-Hands-AI/OpenHands","Derived from official documentation capture on 2026-03-05."
"OpenHands","Workflow automation and CI/CD hooks","Automation of recurring engineering and CI flows. Integration profile for OpenHands: composed.","composed","4","4","4","4","80","https://docs.all-hands.dev/;https://docs.all-hands.dev/usage/getting-started;https://github.com/All-Hands-AI/OpenHands","Derived from official documentation capture on 2026-03-05."
"OpenHands","Safety, approval, and permission models","Permission controls, approval gates, and safety boundaries. Integration profile for OpenHands: composed.","composed","5","5","4","4","90","https://docs.all-hands.dev/;https://docs.all-hands.dev/usage/getting-started;https://github.com/All-Hands-AI/OpenHands","Derived from official documentation capture on 2026-03-05."
"Replit Agent","Agent orchestration and autonomy","Multi-step planning and autonomous execution support. Integration profile for Replit Agent: native.","native","5","5","5","4","96","https://docs.replit.com/replitai/agent;https://docs.replit.com/replitai/app-building-guide","Derived from official documentation capture on 2026-03-05."
"Replit Agent","Context and memory systems","Persistent project context, rules, or memory capture. Integration profile for Replit Agent: composed.","composed","4","4","4","4","80","https://docs.replit.com/replitai/agent;https://docs.replit.com/replitai/app-building-guide","Derived from official documentation capture on 2026-03-05."
"Replit Agent","Search and retrieval","Repository and knowledge retrieval across code and docs. Integration profile for Replit Agent: composed.","composed","4","4","4","4","80","https://docs.replit.com/replitai/agent;https://docs.replit.com/replitai/app-building-guide","Derived from official documentation capture on 2026-03-05."
"Replit Agent","Code analysis and refactoring","Static analysis help and structural code change workflows. Integration profile for Replit Agent: native.","native","5","5","5","4","96","https://docs.replit.com/replitai/agent;https://docs.replit.com/replitai/app-building-guide","Derived from official documentation capture on 2026-03-05."
"Replit Agent","Test generation and execution","Test authoring help and validation loops. Integration profile for Replit Agent: composed.","composed","5","4","4","4","85","https://docs.replit.com/replitai/agent;https://docs.replit.com/replitai/app-building-guide","Derived from official documentation capture on 2026-03-05."
"Replit Agent","Shell and filesystem control","Command execution and file operations. Integration profile for Replit Agent: composed.","composed","4","4","4","4","80","https://docs.replit.com/replitai/agent;https://docs.replit.com/replitai/app-building-guide","Derived from official documentation capture on 2026-03-05."
"Replit Agent","Browser and UI control","UI/browser automation or preview capability. Integration profile for Replit Agent: composed.","composed","3","2","4","4","65","https://docs.replit.com/replitai/agent;https://docs.replit.com/replitai/app-building-guide","Derived from official documentation capture on 2026-03-05."
"Replit Agent","API and external integrations (including MCP/tool ecosystems)","Extensibility via APIs, MCP, plugins, or tool adapters. Integration profile for Replit Agent: composed.","composed","4","4","4","4","80","https://docs.replit.com/replitai/agent;https://docs.replit.com/replitai/app-building-guide","Derived from official documentation capture on 2026-03-05."
"Replit Agent","Debugging and observability","Root-cause analysis, diagnostics, traces, and triage. Integration profile for Replit Agent: composed.","composed","5","5","4","4","90","https://docs.replit.com/replitai/agent;https://docs.replit.com/replitai/app-building-guide","Derived from official documentation capture on 2026-03-05."
"Replit Agent","Docs and knowledge generation","Documentation drafting and knowledge packaging. Integration profile for Replit Agent: composed.","composed","3","3","4","4","70","https://docs.replit.com/replitai/agent;https://docs.replit.com/replitai/app-building-guide","Derived from official documentation capture on 2026-03-05."
"Replit Agent","Workflow automation and CI/CD hooks","Automation of recurring engineering and CI flows. Integration profile for Replit Agent: native.","native","5","5","5","4","96","https://docs.replit.com/replitai/agent;https://docs.replit.com/replitai/app-building-guide","Derived from official documentation capture on 2026-03-05."
"Replit Agent","Safety, approval, and permission models","Permission controls, approval gates, and safety boundaries. Integration profile for Replit Agent: composed.","composed","5","5","4","4","90","https://docs.replit.com/replitai/agent;https://docs.replit.com/replitai/app-building-guide","Derived from official documentation capture on 2026-03-05."
"Amazon Q Developer","Agent orchestration and autonomy","Multi-step planning and autonomous execution support. Integration profile for Amazon Q Developer: composed.","composed","5","4","4","5","89","https://docs.aws.amazon.com/amazonq/latest/qdeveloper-ug/what-is.html;https://docs.aws.amazon.com/amazonq/latest/qdeveloper-ug/command-line.html;https://aws.amazon.com/q/developer/","Derived from official documentation capture on 2026-03-05."
"Amazon Q Developer","Context and memory systems","Persistent project context, rules, or memory capture. Integration profile for Amazon Q Developer: partial.","partial","3","3","2","4","58","https://docs.aws.amazon.com/amazonq/latest/qdeveloper-ug/what-is.html;https://docs.aws.amazon.com/amazonq/latest/qdeveloper-ug/command-line.html;https://aws.amazon.com/q/developer/","Derived from official documentation capture on 2026-03-05."
"Amazon Q Developer","Search and retrieval","Repository and knowledge retrieval across code and docs. Integration profile for Amazon Q Developer: composed.","composed","4","4","4","5","84","https://docs.aws.amazon.com/amazonq/latest/qdeveloper-ug/what-is.html;https://docs.aws.amazon.com/amazonq/latest/qdeveloper-ug/command-line.html;https://aws.amazon.com/q/developer/","Derived from official documentation capture on 2026-03-05."
"Amazon Q Developer","Code analysis and refactoring","Static analysis help and structural code change workflows. Integration profile for Amazon Q Developer: native.","native","5","5","5","5","100","https://docs.aws.amazon.com/amazonq/latest/qdeveloper-ug/what-is.html;https://docs.aws.amazon.com/amazonq/latest/qdeveloper-ug/command-line.html;https://aws.amazon.com/q/developer/","Derived from official documentation capture on 2026-03-05."
"Amazon Q Developer","Test generation and execution","Test authoring help and validation loops. Integration profile for Amazon Q Developer: composed.","composed","5","4","4","5","89","https://docs.aws.amazon.com/amazonq/latest/qdeveloper-ug/what-is.html;https://docs.aws.amazon.com/amazonq/latest/qdeveloper-ug/command-line.html;https://aws.amazon.com/q/developer/","Derived from official documentation capture on 2026-03-05."
"Amazon Q Developer","Shell and filesystem control","Command execution and file operations. Integration profile for Amazon Q Developer: partial.","partial","3","3","2","4","58","https://docs.aws.amazon.com/amazonq/latest/qdeveloper-ug/what-is.html;https://docs.aws.amazon.com/amazonq/latest/qdeveloper-ug/command-line.html;https://aws.amazon.com/q/developer/","Derived from official documentation capture on 2026-03-05."
"Amazon Q Developer","Browser and UI control","UI/browser automation or preview capability. Integration profile for Amazon Q Developer: external-only.","external-only","1","0","0","3","17","https://docs.aws.amazon.com/amazonq/latest/qdeveloper-ug/what-is.html;https://docs.aws.amazon.com/amazonq/latest/qdeveloper-ug/command-line.html;https://aws.amazon.com/q/developer/","Derived from official documentation capture on 2026-03-05."
"Amazon Q Developer","API and external integrations (including MCP/tool ecosystems)","Extensibility via APIs, MCP, plugins, or tool adapters. Integration profile for Amazon Q Developer: composed.","composed","4","4","4","5","84","https://docs.aws.amazon.com/amazonq/latest/qdeveloper-ug/what-is.html;https://docs.aws.amazon.com/amazonq/latest/qdeveloper-ug/command-line.html;https://aws.amazon.com/q/developer/","Derived from official documentation capture on 2026-03-05."
"Amazon Q Developer","Debugging and observability","Root-cause analysis, diagnostics, traces, and triage. Integration profile for Amazon Q Developer: native.","native","5","5","5","5","100","https://docs.aws.amazon.com/amazonq/latest/qdeveloper-ug/what-is.html;https://docs.aws.amazon.com/amazonq/latest/qdeveloper-ug/command-line.html;https://aws.amazon.com/q/developer/","Derived from official documentation capture on 2026-03-05."
"Amazon Q Developer","Docs and knowledge generation","Documentation drafting and knowledge packaging. Integration profile for Amazon Q Developer: composed.","composed","3","3","4","5","74","https://docs.aws.amazon.com/amazonq/latest/qdeveloper-ug/what-is.html;https://docs.aws.amazon.com/amazonq/latest/qdeveloper-ug/command-line.html;https://aws.amazon.com/q/developer/","Derived from official documentation capture on 2026-03-05."
"Amazon Q Developer","Workflow automation and CI/CD hooks","Automation of recurring engineering and CI flows. Integration profile for Amazon Q Developer: composed.","composed","4","4","4","5","84","https://docs.aws.amazon.com/amazonq/latest/qdeveloper-ug/what-is.html;https://docs.aws.amazon.com/amazonq/latest/qdeveloper-ug/command-line.html;https://aws.amazon.com/q/developer/","Derived from official documentation capture on 2026-03-05."
"Amazon Q Developer","Safety, approval, and permission models","Permission controls, approval gates, and safety boundaries. Integration profile for Amazon Q Developer: native.","native","5","5","5","5","100","https://docs.aws.amazon.com/amazonq/latest/qdeveloper-ug/what-is.html;https://docs.aws.amazon.com/amazonq/latest/qdeveloper-ug/command-line.html;https://aws.amazon.com/q/developer/","Derived from official documentation capture on 2026-03-05."
"Gemini Code Assist","Agent orchestration and autonomy","Multi-step planning and autonomous execution support. Integration profile for Gemini Code Assist: composed.","composed","5","4","4","5","89","https://cloud.google.com/gemini/docs/codeassist/overview;https://cloud.google.com/products/gemini/code-assist","Derived from official documentation capture on 2026-03-05."
"Gemini Code Assist","Context and memory systems","Persistent project context, rules, or memory capture. Integration profile for Gemini Code Assist: partial.","partial","3","3","2","4","58","https://cloud.google.com/gemini/docs/codeassist/overview;https://cloud.google.com/products/gemini/code-assist","Derived from official documentation capture on 2026-03-05."
"Gemini Code Assist","Search and retrieval","Repository and knowledge retrieval across code and docs. Integration profile for Gemini Code Assist: composed.","composed","4","4","4","5","84","https://cloud.google.com/gemini/docs/codeassist/overview;https://cloud.google.com/products/gemini/code-assist","Derived from official documentation capture on 2026-03-05."
"Gemini Code Assist","Code analysis and refactoring","Static analysis help and structural code change workflows. Integration profile for Gemini Code Assist: native.","native","5","5","5","5","100","https://cloud.google.com/gemini/docs/codeassist/overview;https://cloud.google.com/products/gemini/code-assist","Derived from official documentation capture on 2026-03-05."
"Gemini Code Assist","Test generation and execution","Test authoring help and validation loops. Integration profile for Gemini Code Assist: composed.","composed","5","4","4","5","89","https://cloud.google.com/gemini/docs/codeassist/overview;https://cloud.google.com/products/gemini/code-assist","Derived from official documentation capture on 2026-03-05."
"Gemini Code Assist","Shell and filesystem control","Command execution and file operations. Integration profile for Gemini Code Assist: partial.","partial","3","3","2","4","58","https://cloud.google.com/gemini/docs/codeassist/overview;https://cloud.google.com/products/gemini/code-assist","Derived from official documentation capture on 2026-03-05."
"Gemini Code Assist","Browser and UI control","UI/browser automation or preview capability. Integration profile for Gemini Code Assist: external-only.","external-only","1","0","0","3","17","https://cloud.google.com/gemini/docs/codeassist/overview;https://cloud.google.com/products/gemini/code-assist","Derived from official documentation capture on 2026-03-05."
"Gemini Code Assist","API and external integrations (including MCP/tool ecosystems)","Extensibility via APIs, MCP, plugins, or tool adapters. Integration profile for Gemini Code Assist: composed.","composed","4","4","4","5","84","https://cloud.google.com/gemini/docs/codeassist/overview;https://cloud.google.com/products/gemini/code-assist","Derived from official documentation capture on 2026-03-05."
"Gemini Code Assist","Debugging and observability","Root-cause analysis, diagnostics, traces, and triage. Integration profile for Gemini Code Assist: composed.","composed","5","5","4","5","94","https://cloud.google.com/gemini/docs/codeassist/overview;https://cloud.google.com/products/gemini/code-assist","Derived from official documentation capture on 2026-03-05."
"Gemini Code Assist","Docs and knowledge generation","Documentation drafting and knowledge packaging. Integration profile for Gemini Code Assist: composed.","composed","3","3","4","5","74","https://cloud.google.com/gemini/docs/codeassist/overview;https://cloud.google.com/products/gemini/code-assist","Derived from official documentation capture on 2026-03-05."
"Gemini Code Assist","Workflow automation and CI/CD hooks","Automation of recurring engineering and CI flows. Integration profile for Gemini Code Assist: composed.","composed","4","4","4","5","84","https://cloud.google.com/gemini/docs/codeassist/overview;https://cloud.google.com/products/gemini/code-assist","Derived from official documentation capture on 2026-03-05."
"Gemini Code Assist","Safety, approval, and permission models","Permission controls, approval gates, and safety boundaries. Integration profile for Gemini Code Assist: native.","native","5","5","5","5","100","https://cloud.google.com/gemini/docs/codeassist/overview;https://cloud.google.com/products/gemini/code-assist","Derived from official documentation capture on 2026-03-05."
